Score,Text,BeginOffset,EndOffset,question
0.9994125962257385,the populist,52,64,As a national savings for the healthcare system will we save money is this is running correctly?
0.9997622966766357,the long run,79,91,As a national savings for the healthcare system will we save money is this is running correctly?
0.9860456585884094,benefit,104,111,As a national savings for the healthcare system will we save money is this is running correctly?
0.9990525841712952,a decade,121,129,As a national savings for the healthcare system will we save money is this is running correctly?
0.9507501125335693,two decades,130,141,As a national savings for the healthcare system will we save money is this is running correctly?
0.9995701909065247,the road,147,155,As a national savings for the healthcare system will we save money is this is running correctly?
0.8973950743675232,a generation thats,184,202,As a national savings for the healthcare system will we save money is this is running correctly?
0.9968955516815186,the time,203,211,As a national savings for the healthcare system will we save money is this is running correctly?
0.9994121193885803,chronic diseases,225,241,As a national savings for the healthcare system will we save money is this is running correctly?
0.9838647842407227,complications,299,312,As a national savings for the healthcare system will we save money is this is running correctly?
0.9983888864517212,complications,323,336,As a national savings for the healthcare system will we save money is this is running correctly?
0.9599764347076416,10 to 15 years,337,351,As a national savings for the healthcare system will we save money is this is running correctly?
0.9850678443908691,microvascular complications,375,402,As a national savings for the healthcare system will we save money is this is running correctly?
0.7994766235351562,about 5 to 10 years,409,428,As a national savings for the healthcare system will we save money is this is running correctly?
0.539807915687561,about 10 15,441,452,As a national savings for the healthcare system will we save money is this is running correctly?
0.8740606904029846,20 years,462,470,As a national savings for the healthcare system will we save money is this is running correctly?
0.922126054763794,attitude changes,489,505,As a national savings for the healthcare system will we save money is this is running correctly?
0.9996684193611145,the whole concept,517,534,As a national savings for the healthcare system will we save money is this is running correctly?
0.9857621192932129,regular screening,538,555,As a national savings for the healthcare system will we save money is this is running correctly?
0.7762008309364319,regular prevention,556,574,As a national savings for the healthcare system will we save money is this is running correctly?
0.9855168461799622,outcomes,590,598,As a national savings for the healthcare system will we save money is this is running correctly?
0.9965715408325195,community,628,637,As a national savings for the healthcare system will we save money is this is running correctly?
0.8884486556053162,all your fitness,667,683,As a national savings for the healthcare system will we save money is this is running correctly?
0.9554914832115173,your dietetics,684,698,As a national savings for the healthcare system will we save money is this is running correctly?
0.8333346843719482,all this coming,699,714,As a national savings for the healthcare system will we save money is this is running correctly?
0.940125584602356,much earlier results,742,762,As a national savings for the healthcare system will we save money is this is running correctly?
0.4717482328414917,dont,764,768,As a national savings for the healthcare system will we save money is this is running correctly?
0.9982098937034607,20 years,791,799,As a national savings for the healthcare system will we save money is this is running correctly?
0.583272397518158,investment,800,810,As a national savings for the healthcare system will we save money is this is running correctly?
0.9993135333061218,the ministry,823,835,As a national savings for the healthcare system will we save money is this is running correctly?
0.9977313876152039,a much earlier ri,844,861,As a national savings for the healthcare system will we save money is this is running correctly?
0.9983605742454529,the returns,865,876,As a national savings for the healthcare system will we save money is this is running correctly?
0.9363516569137573,the point,966,975,As a national savings for the healthcare system will we save money is this is running correctly?
0.9996685981750488,certain things,997,1011,As a national savings for the healthcare system will we save money is this is running correctly?
0.9998105764389038,the condition,1029,1042,As a national savings for the healthcare system will we save money is this is running correctly?
0.9956526756286621,a little bit,1043,1055,As a national savings for the healthcare system will we save money is this is running correctly?
0.9995161294937134,a difference,1085,1097,As a national savings for the healthcare system will we save money is this is running correctly?
0.9997611045837402,the outcome,1101,1112,As a national savings for the healthcare system will we save money is this is running correctly?
0.9793555736541748,many people,1117,1128,As a national savings for the healthcare system will we save money is this is running correctly?
0.9880402088165283,necessary screening end,1148,1171,As a national savings for the healthcare system will we save money is this is running correctly?
